recipe_id,r_idx
14581,1486
14584,1487
14593,1488
14596,1489
14661,1490
14663,1491
14684,1492
14689,1493
14696,1494
14701,1495
14716,1496
14738,1497
14741,1498
14742,1499
14752,1500
14756,1501
14762,1502
14763,1503
14764,1504
14774,1505
14777,1506
14787,1507
14794,1508
14796,1509
14808,1510
14814,1511
14828,1512
14835,1513
14836,1514
14838,1515
14843,1516
14845,1517
14858,1518
14860,1519
14865,1520
14868,1521
14872,1522
14873,1523
14895,1524
14897,1525
14899,1526
14903,1527
14906,1528
14910,1529
14911,1530
14918,1531
14927,1532
14928,1533
14930,1534
14938,1535
14945,1536
14953,1537
14956,1538
14962,1539
14967,1540
14977,1541
14979,1542
14988,1543
14995,1544
15003,1545
15006,1546
15012,1547
15021,1548
15025,1549
15031,1550
15038,1551
15039,1552
15043,1553
15047,1554
15059,1555
15060,1556
15062,1557
15063,1558
15068,1559
15072,1560
15076,1561
15094,1562
15098,1563
15104,1564
15107,1565
15123,1566
15125,1567
15145,1568
15148,1569
15153,1570
15154,1571
15155,1572
15164,1573
15165,1574
15173,1575
15175,1576
15183,1577
15188,1578
15194,1579
15195,1580
15196,1581
15198,1582
15200,1583
15203,1584
15210,1585
15216,1586
15220,1587
15228,1588
15229,1589
15241,1590
15242,1591
15248,1592
15250,1593
15256,1594
15263,1595
15265,1596
15276,1597
15277,1598
15280,1599
15283,1600
15286,1601
15291,1602
15292,1603
15293,1604
15295,1605
15296,1606
15301,1607
15302,1608
15307,1609
15309,1610
15340,1611
15343,1612
15345,1613
15347,1614
15348,1615
15350,1616
15364,1617
15372,1618
15385,1619
15389,1620
15392,1621
15411,1622
15414,1623
15415,1624
15416,1625
15420,1626
15426,1627
15429,1628
15431,1629
15454,1630
15463,1631
15466,1632
15477,1633
15478,1634
15489,1635
15503,1636
15507,1637
15509,1638
15518,1639
15522,1640
15532,1641
15548,1642
15553,1643
15562,1644
15566,1645
15570,1646
15578,1647
15584,1648
15588,1649
15594,1650
15595,1651
15606,1652
15619,1653
15620,1654
15622,1655
15625,1656
15641,1657
15644,1658
15646,1659
15647,1660
15654,1661
15656,1662
15658,1663
15664,1664
15668,1665
15682,1666
15685,1667
15688,1668
15690,1669
15692,1670
15693,1671
15725,1672
15740,1673
15773,1674
15775,1675
15779,1676
15813,1677
15820,1678
15826,1679
15832,1680
15835,1681
15843,1682
15846,1683
15848,1684
15862,1685
15863,1686
15865,1687
15866,1688
15869,1689
15870,1690
15875,1691
15886,1692
15901,1693
15908,1694
15911,1695
15918,1696
15927,1697
15937,1698
15943,1699
15968,1700
15969,1701
15982,1702
15990,1703
16003,1704
16008,1705
16015,1706
16017,1707
16026,1708
16037,1709
16043,1710
16045,1711
16048,1712
16051,1713
16055,1714
16061,1715
16067,1716
16073,1717
16084,1718
16086,1719
16093,1720
16106,1721
16109,1722
16110,1723
16115,1724
16120,1725
16123,1726
16130,1727
16135,1728
16139,1729
16149,1730
16152,1731
16186,1732
16187,1733
16192,1734
16193,1735
16195,1736
16205,1737
16211,1738
16213,1739
16216,1740
16221,1741
16235,1742
16247,1743
16256,1744
16267,1745
16271,1746
16272,1747
16273,1748
16283,1749
16286,1750
16287,1751
16305,1752
16311,1753
16319,1754
16320,1755
16328,1756
16342,1757
16345,1758
16356,1759
16365,1760
16371,1761
16378,1762
16392,1763
16396,1764
16397,1765
16399,1766
16412,1767
16419,1768
16424,1769
16432,1770
16433,1771
16448,1772
16465,1773
16472,1774
16474,1775
16475,1776
16476,1777
16482,1778
16488,1779
16489,1780
16492,1781
16498,1782
16500,1783
16501,1784
16511,1785
16512,1786
16517,1787
16518,1788
16520,1789
16521,1790
16531,1791
16533,1792
16540,1793
16545,1794
16546,1795
16550,1796
16554,1797
16557,1798
16558,1799
16559,1800
16566,1801
16567,1802
16569,1803
16571,1804
16573,1805
16575,1806
16576,1807
16581,1808
16587,1809
16596,1810
16598,1811
16599,1812
16600,1813
16603,1814
16610,1815
16611,1816
16621,1817
16624,1818
16628,1819
16632,1820
16642,1821
16647,1822
16650,1823
16652,1824
16655,1825
16666,1826
16682,1827
16687,1828
16696,1829
16698,1830
16702,1831
16705,1832
16712,1833
16713,1834
16716,1835
16719,1836
16726,1837
16727,1838
16728,1839
16733,1840
16741,1841
16742,1842
16745,1843
16746,1844
16769,1845
16773,1846
16775,1847
16809,1848
16810,1849
16811,1850
16813,1851
16820,1852
16823,1853
16826,1854
16834,1855
16835,1856
16842,1857
16847,1858
16855,1859
16856,1860
16858,1861
16859,1862
16860,1863
16870,1864
16874,1865
16876,1866
16877,1867
16878,1868
16884,1869
16887,1870
16892,1871
16901,1872
16902,1873
16907,1874
16908,1875
16917,1876
16938,1877
16944,1878
16948,1879
16954,1880
16955,1881
16959,1882
16961,1883
16980,1884
16983,1885
16990,1886
16991,1887
16992,1888
16999,1889
17000,1890
17001,1891
17002,1892
17004,1893
17014,1894
17021,1895
17023,1896
17031,1897
17040,1898
17044,1899
17045,1900
17051,1901
17058,1902
17061,1903
17073,1904
17075,1905
17079,1906
17080,1907
17083,1908
17087,1909
17089,1910
17092,1911
17093,1912
17095,1913
17098,1914
17104,1915
17111,1916
17113,1917
17118,1918
17126,1919
17130,1920
17138,1921
17139,1922
17140,1923
17141,1924
17142,1925
17148,1926
17149,1927
17172,1928
17175,1929
17176,1930
17181,1931
17186,1932
17197,1933
17199,1934
17204,1935
17206,1936
17208,1937
17209,1938
17210,1939
17213,1940
17222,1941
17225,1942
17227,1943
17231,1944
17232,1945
17233,1946
17241,1947
17248,1948
17251,1949
17253,1950
17254,1951
17262,1952
17265,1953
17270,1954
17282,1955
17286,1956
17287,1957
17288,1958
17293,1959
